"id", "Date", "Type", "CapNo", "ExptType", "investigator", 
 46, 2014-05-01, A, 1, G16 - good, 1,  
 47, 2014-05-01, A, 3, G16 - good, 1,  
 48, 2014-05-01, A, 4, G16 - good, 1,  
 49, 2014-05-01, A, 5, G16 - good, 1,  
 50, 2014-07-03, E, 1, G16 - good, 1,  
 51, 2014-07-03, E, 4, G16 - good, 1,  
 52, 2014-07-03, E, 7, G16 - good, 1,  
 53, 2014-07-03, E, 5, G16 - good, 1,  
 54, 2014-07-03, E, 6, G16 - good, 1,  
 55, 2014-07-03, E, 8, G16 - good, 1,  
 56, 2014-08-07, C, 1, G27b - 5 Secs ozone, 1,  
 57, 2014-08-07, C, 5, G27b - 5 Secs ozone, 1,  
 58, 2014-08-07, C, 2, G27b - 5 Secs ozone, 1,  
 59, 2014-08-07, C, 3, G27b - 5 Secs ozone, 1,  
 60, 2014-08-07, C, 6, G27b - 5 Secs ozone, 1,  
 61, 2014-08-07, C, 4, G27b - 5 Secs ozone, 1,  
 62, 2014-08-08, H, 4, G27b - 5 Secs ozone, 1,  
 63, 2014-08-08, H, 7, G27b - 5 Secs ozone, 1,  
 64, 2014-08-08, H, 6, G27b - 5 Secs ozone, 1,  
 65, 2014-08-11, H, 2, G27b - 5 Secs ozone, 1,  
 66, 2014-08-11, H, 3, G27b - 5 Secs ozone, 1,  
 67, 2014-08-11, I, 6, G27b - 5 Secs ozone, 1,  
 68, 2014-08-11, I, 7, G27b - 5 Secs ozone, 1,  
 69, 2014-08-12, A, 2, G27b - 5 Secs ozone, 1,  
 70, 2014-08-12, A, 5, G27b - 5 Secs ozone, 1,  
 71, 2014-08-12, A, 6, G27b - 5 Secs ozone, 1,  
 72, 2014-08-12, A, 7, G27b - 5 Secs ozone, 1,  
 73, 2014-08-12, A, 10, G27b - 5 Secs ozone, 1,  
 74, 2014-08-12, A, 9, G27b - 5 Secs ozone, 1,  
 75, 2014-08-13, I, 1, G27b - 5 Secs ozone, 1,  
 76, 2014-08-13, I, 2, G27b - 5 Secs ozone, 1,  
 77, 2014-08-13, I, 5, G27b - 5 Secs ozone, 1,  
 78, 2014-08-13, I, 3, G27b - 5 Secs ozone, 1,  
 79, 2014-08-13, E*, 4, G27b - 5 Secs ozone, 1,  
 80, 2014-08-13, E*, 6, G27b - 5 Secs ozone, 1,  
 81, 2014-09-01, C, 1, G27a - 10 Secs ozone, 1,  
 82, 2014-09-01, C, 2, G27a - 10 Secs ozone, 1,  
 83, 2014-09-01, H, 5, G27a - 10 Secs ozone, 1,  
 84, 2014-09-01, C, 7, G27a - 10 Secs ozone, 1,  
 85, 2014-09-02, C, 1, G27a - 10 Secs ozone, 1,  
 86, 2014-09-02, C, 2, G27a - 10 Secs ozone, 1,  
 87, 2014-09-02, A, 3, G27a - 10 Secs ozone, 1,  
 88, 2014-09-02, A, 5, G27a - 10 Secs ozone, 1,  
 89, 2014-09-02, I, 6, G27a - 10 Secs ozone, 1,  
 90, 2014-09-02, I, 7, G27a - 10 Secs ozone, 1,  
 91, 2014-09-02, I, 8, G27a - 10 Secs ozone, 1,  
 92, 2014-09-03, I, 2, G27a - 10 Secs ozone, 1,  
 93, 2014-09-03, H, 5, G27a - 10 Secs ozone, 1,  
 94, 2014-09-03, H, 8, G27a - 10 Secs ozone, 1,  
 95, 2014-09-03, H, 6, G27a - 10 Secs ozone, 1,  
 96, 2014-09-03, A, 7, G27a - 10 Secs ozone, 1,  
 97, 2014-10-15, E*, 1, G27a - 10 Secs ozone, 1,  
 98, 2014-10-15, E*, 8, G27a - 10 Secs ozone, 1,  
 99, 2014-10-15, E*, 4, G27a - 10 Secs ozone, 1,  
 100, 2014-10-15, E*, 5, G27a - 10 Secs ozone, 1,  
 101, 2014-10-15, E*, 7, G27a - 10 Secs ozone, 1,  
 102, 2014-10-15, E*, 9, G27a - 10 Secs ozone, 1,  
 103, 2014-09-15, C, 1, G27c - 20 Secs ozone, 1,  
 104, 2014-09-15, H, 2, G27c - 20 Secs ozone, 1,  
 105, 2014-09-15, C, 3, G27c - 20 Secs ozone, 1,  
 106, 2014-09-15, H, 4, G27c - 20 Secs ozone, 1,  
 107, 2014-09-15, A, 5, G27c - 20 Secs ozone, 1,  
 108, 2014-09-15, A, 6, G27c - 20 Secs ozone, 1,  
 109, 2014-09-16, I, 1, G27c - 20 Secs ozone, 1,  
 110, 2014-09-16, I, 2, G27c - 20 Secs ozone, 1,  
 111, 2014-09-16, I, 15, G27c - 20 Secs ozone, 1,  
 112, 2014-09-16, I, 4, G27c - 20 Secs ozone, 1,  
 113, 2014-09-16, H, 5, G27c - 20 Secs ozone, 1,  
 114, 2014-09-16, C, 7, G27c - 20 Secs ozone, 1,  
 115, 2014-09-16, A, 9, G27c - 20 Secs ozone, 1,  
 116, 2014-09-16, C, 10, G27c - 20 Secs ozone, 1,  
 117, 2014-09-16, A, 11, G27c - 20 Secs ozone, 1,  
 118, 2014-09-16, E*, 13, G27c - 20 Secs ozone, 1,  
 119, 2014-09-16, E*, 14, G27c - 20 Secs ozone, 1,  
 120, 2015-04-08, C, 1, G34 - Al2O3, 1,  
 121, 2015-04-08, C, 2, G34 - Al2O3, 1,  
 122, 2015-04-08, I, 3, G34 - Al2O3, 1,  
 123, 2015-04-09, C, 1, G33 - graphene with Al2O3, 1,  
 124, 2015-04-09, C, 9, G33 - graphene with Al2O3, 1,  
 125, 2015-04-09, C, 2, G33 - graphene with Al2O3, 1,  
 126, 2015-04-09, C, 3, G33 - graphene with Al2O3, 1,  
 127, 2015-04-09, I, 4, G33 - graphene with Al2O3, 1,  
 128, 2015-04-09, I, 10, G33 - graphene with Al2O3, 1,  
 129, 2015-04-09, I, 6, G33 - graphene with Al2O3, 1,  
 130, 2015-04-09, I, 11, G33 - graphene with Al2O3, 1,  
 131, 2015-04-09, I, 12, G33 - graphene with Al2O3, 1,  
 132, 2015-04-09, H, 8, G33 - graphene with Al2O3, 1,  
 133, 2015-04-13, H, 5, G33 - graphene with Al2O3, 1,  
 134, 2015-04-13, H, 6, G33 - graphene with Al2O3, 1,  
 135, 2015-04-13, A, 2, G33 - graphene with Al2O3, 1,  
 136, 2015-04-13, A, 3, G33 - graphene with Al2O3, 1,  
 137, 2015-04-13, H, 4, G33 - graphene with Al2O3, 1,  
 138, 2015-04-14, C, 1, G33 - graphene with Al2O3, 1,  
 139, 2015-04-16, C, 1, G33 - graphene with Al2O3, 1,  
 140, 2015-04-16, C, 4, G33 - graphene with Al2O3, 1,  
 141, 2015-04-22, I, 1, G33 - graphene with Al2O3, 1,  
 142, 2015-04-22, I, 2, G33 - graphene with Al2O3, 1,  
 143, 2015-04-29, C, 1, G31, 2,  
 144, 2015-04-29, C, 2, G31, 2,  
 145, 2015-04-29, C, 3, G31, 2,  
 146, 2015-04-30, C, 1, G31, 2,  
 147, 2015-04-30, C, 2, G31, 2,  
 148, 2015-04-30, C, 3, G31, 2,  
 149, 2015-05-07, C, 1, Selectivity, 2,  
 150, 2015-05-08, C, 3, Graphene, 2,  
 151, 2015-05-08, A, 1, Graphene, 2,  
 152, 2015-05-11, C, 1, Graphene, 2,  
 153, 2015-05-15, A, 1, Graphene, 2,  
 154, 2015-05-18, E, 1, Graphene, 2,  
 155, 2015-05-20, C, 1, Bare, 2,  
 156, 2015-05-21, C, 1, Bare, 2,  
 157, 2015-05-21, E, 2, Bare, 2,  
 158, 2015-05-27, C, 1, Bare, 2,  
 159, 2015-05-27, C, 2, Bare, 2,  
 160, 2015-05-28, C, 1, Bare, 2,  
 161, 2015-05-28, C, 2, Bare, 2,  
 162, 2015-05-28, C, 3, Bare, 2,  
 163, 2015-05-28, C, 4, Bare, 2,  
 164, 2015-05-28, A, 5, Bare, 2,  
 165, 2015-05-29, C, 1, G30, 2,  
 166, 2015-06-01, C, 1, G19, 2,  
 167, 2015-06-01, C, 2, G19 Selectivity VS, 2,  
 168, 2015-06-01, C, 3, G19 Selectivity VS, 2,  
 169, 2015-06-12, I, 1, G19 Selectivity VS, 2,  
 170, 2015-06-12, I, 2, G19 Selectivity VS, 2,  
 171, 2015-06-20, C, 1, G19 Selectivity VS, 2,  
 172, 2015-06-22, C, 1, G19 Selectivity VS, 2,  
 173, 2015-06-23, C, 1, Bare, 2,  
 174, 2015-06-23, C, 2, Bare, 2,  
 175, 2015-07-01, C, 1, G22 Selectivity VS, 2,  
 176, 2015-07-01, C, 2, G22 Selectivity VS, 2,  
 177, 2015-07-03, C, 1, G32 Selectivity VS, 2,  
 178, 2015-07-04, C, 1, G32 Selecitivty VS, 2,  
 179, 2015-07-04, C, 2, G32 Selectivity VS, 2,  
 180, 2015-07-04, C, 3, G32 Selectivity VS, 2,  
 181, 2015-07-05, C, 1, G32 Selectivity VS, 2,  
 182, 2015-07-09, C, 1, Bare, 3,  
 183, 2015-07-09, C, 2, UK training G32, 3,  
 184, 2015-07-09, C, 3, Bare, 3,  
 185, 2015-07-10, C, 1, Bare, 3,  
 186, 2015-07-10, C, 2, Bare, 3,  
 187, 2015-07-10, C, 3, G32 Acidic Selectivity, 1,  
 188, 2015-07-13, C, 1, Bare Acidic, 3,  
 189, 2015-07-13, C, 2, G32 Acidic Selectivity, 3,  
 190, 2015-07-13, C, 3, Bare, 3,  
 191, 2015-07-15, C, 1, Bare KCl pH 0.4, 3,  
 192, 2015-07-15, C, 2, Bare KCl pH 0.4, 3,  
 193, 2015-07-15, C, 3, Bare pH 4 KCl, 3,  
 194, 2015-07-15, C, 4, Bare pH 4 KCl, 3,  
 195, 2015-07-16, C, 1, G32 Acdici Selectiviity, 3,  
 196, 2015-07-16, C, 2, Bare/broken, 3,  
 197, 2015-07-16, C, 3, Broken, 3,  
 198, 2015-07-16, C, 4, G32 Selectivity, 3,  
 199, 2015-07-17, C, 1, G32 Less Acid Selectivity, 3,  
 200, 2015-07-17, C, 2, G32 Less Acidic Selectivity, 3,  
 201, 2015-07-20, C, 1, Broken, 3,  
 202, 2015-07-20, C, 5, G32 pH 2 Selectivity, 3,  
 203, 2015-07-20, C, 2, fail, 3,  
 204, 2015-07-20, C, 3, fail, 3,  
 205, 2015-07-20, C, 4, fail, 3,  
 206, 2015-07-22, C, 1, G32 pH6 selectivity, 3,  
 207, 2015-07-22, C, 2, G32 ph6 selectivity, 3,  
 208, 2015-07-23, I, 1, Nafion pH4 KCL selectivity, 3,  
 209, 2015-07-23, I, 2, Nafion pH4 Selectivity, 3,  
 210, 2015-07-23, I, 3, Nafion pH 0.4 KCl, 3,  
 211, 2015-07-23, I, 4, Nafion pH 0.4 KCl, 3,  
 212, 2015-07-24, I, 1, Nafion KCL selectivity pH 6, 3,  
 213, 2015-07-24, I, 2, Nafion pH6 KCl, 3,  
 214, 2015-07-24, I, 3, Nafion KCl Selectivity pH 2, 3,  
 215, 2015-07-24, I, 4, Nafion pH2 KCl Selectivity, 3,  
 216, 2015-07-27, C, 1, hBN KCL Selectivity pH4, 3,  
 217, 2015-07-27, C, 2, hBN KCL Selectivity pH4, 3,  
 218, 2015-07-28, C, 1, hBN KCL Selectivity pH0.4 - not very successful, 3,  
 219, 2015-07-29, C, 1, hBN KCL Selectivity pH0.4, 3,  
 220, 2015-07-29, C, 2, hBN KCL Selectivity pH 0.4, 3,  
 221, 2015-08-03, C, 1, hBN pH2 KCL selectivity, 3,  
 222, 2015-08-03, C, 2, hBN pH2 KCl Selectivity, 3,  
 223, 2015-08-04, C, 1, hBN pH6 KCl Selectivity , 3,  
 224, 2015-08-04, C, 2, hBN pH6 KCl Selectivity, 3,  
 225, 2015-07-31, C, 1, C type close approach to break, 1,  
 226, 2015-07-31, C, 3, C type close approach to break, 1,  
 227, 2015-07-31, I, 4, C type close approach to break, 1,  
 228, 2015-08-06, I, 1, Nafion KCl selectivity pH8, 3,  
 229, 2015-08-06, I, 2, Nafion KCl Selectivity pH 8, 3,  
 230, 2015-08-06, I, 3, Nafion KCl Selectivity pH 0, 3,  
 231, 2015-08-06, I, 4, Nafion KCl selectivity pH 0, 3,  
 232, 2015-08-07, C, 1, hBN KCl Selectivity pH8, 3,  
 233, 2015-08-07, C, 2, hBN Selectivity to KCL pH 8, 3,  
 234, 2015-08-10, C, 1, hBN Selectivity to KCL pH 0, 3,  
 235, 2015-08-10, C, 2, hBN KCl selectivity pH 0, 3,  
 236, 2015-08-11, C, 1, Graphene - KCl selectiivity pH0, 3,  
 237, 2015-08-11, C, 2, Graphene KCL selectivity pH 0, 3,  
 238, 2015-08-12, C, 1, KCl selectivity pH 8, 3,  
 239, 2015-08-12, C, 2, graphene KCl selectivity pH 8, 3,  
 240, 2015-08-14, C, 1, 5 sec damaged graphene pH6 KCL selectivity G27b, 3,  
 241, 2015-08-14, C, 2, damaged graphene pH6 Kcl Selectivity g27b, 3,  
 242, 2015-08-14, C, 3, Bare pH6 test - is this correct, 3,  
 243, 2015-08-17, C, 1, ph 0.4 Damaged graphene G27b, KCl selectivity, 3,  
 244, 2015-08-17, C, 2, Damaged graphene pH 0.4 KCl selectity G27b, 3,  
 245, 2015-08-17, C, 3, pH 0.4, Damaged graphene KCl selectivity, G27b, 3,  
 246, 2015-08-17, C, 4, Damaged Graphene pH 0.4 KCl selectivity, G27b, 3,  
 247, 2015-08-18, C, 1, G27c damaged grpahen pH 6 KCl selectivity, 3,  
 248, 2015-08-18, C, 2, G27c, pH6 KCl Selectivity, 3,  
 249, 2015-08-18, C, 3, G27c, pH6 KCl selectivity,, 3,  
 250, 2015-08-20, C, 1, pH6 KCl Selectivity 2nm ALD coated graphene, 3,  
 251, 2015-08-20, C, 2, pH6 KCl Selectivity 2nm ALD coated graphene, 3,  
 252, 2015-08-20, C, 3, pH6 KCl Selectivity 2nm ALD coated graphene, 3,  
 253, 2015-08-21, I, 1, ph12 KCl selectivity Nafion, 3,  
 254, 2015-08-21, I, 2, pH 12 selectivity nafion, 3,  
 255, 2015-08-21, I, 3, pH 12 KCl selectivity Nafion, 3,  
 256, 2015-08-21, C, 4, pH 12 KCl Selectivity hBN, 3,  
 257, 2015-08-21, C, 5, pH12 KCl Selectivity hBN, 3,  
 258, 2015-08-24, C, 1, Na2S Selectivity, 3,  
 259, 2015-08-24, C, 2, Na2S Selectivity, 3,  
 260, 2015-09-09, T, 1, Testing amplfiers and code, 1,  
 261, 2015-09-11, T, 1, Testing Amplifier and code, 1,  
 262, 2015-09-14, T, 4, Test, 1,  
 263, 2015-09-14, C, 1, C01, 1,  
 264, 2015-09-14, C, 3, C03 - V breaking of graphene, 1,  
 265, 2015-09-17, C, 1, C01, 1,  
 266, 2015-09-17, C, 2, Breaking with voltage and attempting to measure translocations, 1,  
 267, 2015-09-18, T, 1, Test of the changes to real earth amplifier, 1,  
 268, 2015-09-28, C, 2, C02, 1,  
 269, 2015-09-28, C, 3, C02a - Al2O3 imporved recipe, 1,  
 270, 2015-09-28, H, 4, H03, 1,  
 271, 2015-09-28, I, 5, I04 - new Al2O3 recipe, 1,  
 272, 2015-09-28, I, 6, I04a - new Al2O3 recipe, 1,  
 273, 2015-09-28, I, 7, I04b - new al2o3 recipe, 1,  
 274, 2015-09-28, I, 8, I04c - new Al2O3 recipe, 1,  
 275, 2015-09-28, H, 9, H03a - Testing new recipe Al2O3, 1,  
 276, 2015-09-28, H, 10, H03b - testing Al2O3 new recipe, 1,  
 277, 2015-09-29, C, 1, Voltage breaking of hBN and attempt to measure translocations., 1,  
 278, 2015-09-30, C, 1,  C01 - Attempting V break and translocations with graphene, 1,  
 279, 2015-09-30, C, 2,  C02 - Controls for DNA translocations with the solution use on the previous 2 days., 1,  
 280, 2015-10-15, C, 1, C01 - LiCl Selectivity no pH buffering, 4,  
 281, 2015-10-16, C, 1, LiCl 1M Test before V Breaking, 1,  
 282, 2015-10-16, C, 2, C02  - hBN LiCl V breaking and attempted translocations, 1,  
 283, 2015-09-15, C, 4, C04 - V breaking, 1,  
 284, 2015-09-15, C, 5, C04a - V breaking, 1,  
 285, 2015-09-15, C, 6, C04b - More V breaking , 1,  
 286, 2015-09-19, T, 1, Tests of the Real Earth FET Amplifier Linearity, 1,  
 287, 2015-10-15, C, 3, C03 - LiCL selectivity but blocked, 4,  
 288, 2015-10-22, C, 1, Li Cl Selectivity, 4,  
 289, 2015-10-22, C, 4, LiCl Selectivity, 4,  
 290, 2015-10-26, C, 2, LiCl Selectivity of graphene, 4,  
 291, 2015-11-16, C, 1, Bare LiCl Selectivity, 4,  
 292, 2015-11-16, C, 2, Bare LiCl Selectivity, 4,  
 293, 2015-11-16, C, 3, Bare Selectitivty different ions, 4,  
 294, 2015-12-04, C, 1, C01 - with 4M LiCl, 1,  
 295, 2015-12-04, C, 3, C03  - V break and Translocations through hBN, 1,  
 296, 2015-12-08, C, 1, C01 - G40 non PMMA Seal test, 1,  
 297, 2015-12-08, C, 2, C02 - G40 non PMMA Seal test, 1,  
 298, 2015-12-08, C, 3, C03 - G40 non PMMA Seal test, 1,  
 299, 2015-12-08, C, 4, C04 - G40 non PMMA Seal test, 1,  
 300, 2015-12-08, I, 5, I05 - G40 non PMMA Seal test, 1,  
 301, 2015-12-08, I, 6, I06 - Blocked Capillary, 1,  
 302, 2015-12-08, I, 7, I07 - G40 non PMMA Seal test, 1,  
 303, 2015-12-08, I, 8, I07b, 1,  
 304, 2015-12-10, C, 4, C04 - hBN V Break and DNA Translocations  - messed up Control, 1,  
 305, 2015-12-11, C, 1, C01 - Graphene V break and DNA Translocation Attempt, 1,  
 306, 2016-01-11, C, 2, C02 graphene  selectivity to different solutions, 4,  
 307, 2016-01-11, C, 3, C03 Test selectivity to different solutions for a bare capillary, 4,  
 308, 2016-01-15, C, 1, C01 DNA through V broken G35 using 900mV to break so axopatch only, 1,  
 309, 2016-01-20, A, 1, A01 type control, 1,  
 310, 2016-01-20, A, 2, A02  - A type control - capillary not clearly filled correctly, 1,  
 311, 2016-01-20, A, 3, A03 A type control for translocations, 1,  
 312, 2016-01-21, C, 2,  C02 - changing salt in the reservoir, 4,  
 313, 2016-01-21, C, 3, C03 - changing salt in the reservoir, 4,  
 314, 2016-02-16, C, 1, Changing Salt in the reservoir, 4,  
 315, 2016-02-22, C, 1, In situ etching with KMnO4, 4,  
 316, 2016-02-23, C, 1, Control of etching on bare capillary, 4,  
 317, 2016-01-27, I, 1, Naffion charge seletivity control, 4,  
 318, 2016-01-27, I, 2, Naffion size seletivity control, 4,  
 319, 2016-01-28, I, 1, Nafion changing reservoir Ion, 4,  
 320, 2016-01-28, I, 2, Nafion Changing Ion in reservoir, 4,  
 321, 2016-01-28, I, 3, Control Bare I type Changing Ion, 4,  
 322, 2016-03-03, C, 1, C01 - Initial Selectivity, 4,  
 323, 2016-03-03, C, 3, C01 - Etching progress over 20mins, 4,  
 324, 2016-03-03, C, 4, C01 - Selectivity after 20 mins etching, 4,  
 325, 2016-03-03, C, 2, C02 - Initial Selectivity, 4,  
 326, 2016-03-03, C, 5, C02 - Etching with KMnO4 over 20 mins, 4,  
 327, 2016-03-03, C, 6, C02 - Selectivity after 5 mins etch, 4,  
 328, 2016-03-03, C, 7, C02 - Selectivity after 10 mins etch, 4,  
 329, 2016-03-03, C, 8, C02 - Selectivity after 20 mins etching, 4,  
 330, 2016-03-10, C, 1, hBN - LiCl selectivities, 4,  
 331, 2016-03-10, C, 2, hBN different Ion selectivities same capillary as 330, 4,  
 332, 2016-03-31, C, 2, C02 - First exeriment with nanosheets, 1,  
 333, 2016-03-31, C, 3, C03 - 2nd experiment with the nanosheets, 1,  
 334, 2016-03-31, A, 4, A04 - 3rd experiments using nanosheets - first with A type, 1,  
 335, 2016-04-06, C, 1, C01 - concentration control and nanosheets, 1,  
 336, 2016-04-06, C, 2, C02  - Nano sheets, 1,  
 337, 2016-05-03, C, 1, Damaged Graphene before etching, 4,  
 338, 2016-05-03, C, 2, C01a Damaged graphene after 1 minute etching in acidic potassium permanganate, 4,  
 339, 2016-05-03, I, 5, I type LiCL bare control, 4,  
 340, 2016-05-04, C, 3, C03 Damaged Graphene before etching, 4,  
 341, 2016-05-04, C, 4, C03 a Damaged Graphene 30 sec etch, 4,  
 342, 2016-05-04, C, 5, C03b Damaged Graphene 1 minute total etch, 4,  
 343, 2016-05-04, C, 6, C03c Damaged Graphene 2 minute total etch, 4,  
 344, 2016-05-04, C, 7, C03d Damaged Graphene 4 minute total etch, 4,  
 345, 2016-05-04, C, 8, C03e Damaged Graphene 6 minute total etch, 4,  
 346, 2016-05-04, C, 9, C03f Damaged Graphene 8 minute total etch, 4,  
 347, 2016-05-04, C, 10, C03g Damaged Graphene 12 minute total etch, 4,  
 348, 2016-05-04, C, 11, C03h Damaged Graphene 18 minute total etch, 4,  
 349, 2016-05-04, C, 12, C03i Damaged Graphene 22 minute total etch, 4,  
 350, 2016-05-04, C, 13, C03j Damaged Graphene 32 minute total etch, 4,  
 351, 2016-05-05, C, 1, C01 Unetched Graphene  - note seal broke on etching, 4,  
 352, 2016-05-05, C, 20, C02 Unetched Graphene, 4,  
 353, 2016-05-05, C, 21, C02a 1 minute etched, 4,  
 354, 2016-05-05, C, 22, C02b 2 minute total etch, 4,  
 355, 2016-05-05, C, 23, C02c 3 minute etch, 4,  
 356, 2016-05-05, C, 24, C02d 4 min etch, 4,  
 357, 2016-05-05, C, 25, C02e 6 min etch, 4,  
 358, 2016-05-05, C, 26, C02f  10 min etch, 4,  
 359, 2016-05-05, C, 27, C02g 15 min etch, 4,  
 360, 2016-05-05, C, 28, C02h 30 min approx total etch, 4,  
 361, 2016-05-05, C, 30, C03  0 Minutes etching, 4,  
 362, 2016-05-05, C, 31, C03a 30 sec etch, 4,  
 363, 2016-05-05, C, 32, C03b 1.5 min etch, 4,  
 364, 2016-05-05, C, 33, 2.5 min etch, 4,  
 365, 2016-05-05, C, 34, C03d 4.5 min etch, 4,  
 366, 2016-05-05, C, 35, C03e 8.5 min etch, 4,  
 367, 2016-05-05, C, 36, C03f 14.5 min etch, 4,  
 368, 2016-05-06, C, 20, C02 0 min etching, 4,  
 369, 2016-05-06, C, 21, C02a 30 sec etching, 4,  
 370, 2016-05-06, C, 22, C02b 1.5 min etching, 4,  
 371, 2016-05-06, C, 3, C03 0 min etching, 4,  
 372, 2016-05-06, C, 31, C03a 1 min etching, 4,  
 373, 2016-05-06, C, 32, C03b 5 min total etching, 4,  
 374, 2016-05-06, C, 33, C03c 10 min total etching, 4,  
 375, 2016-05-06, C, 34, C03d 15 min total etching, 4,  
 376, 2016-05-06, C, 35, C03e 20 min total etching, 4,  
 377, 2016-05-09, C, 1, C01 - V break and DNA translocations - controls not completed but good, 1,  
 378, 2016-06-02, C, 1, C01 - G41 V breakking and translocations. Controls and some features., 1,  
 379, 2016-06-06, C, 1, C01_training, 5,  
 380, 2016-06-06, C, 2, C02_training, 5,  
 381, 2016-06-08, C, 1, C01 - hBN V break and translocations 3 sizes - no switch mount, 1,  
 382, 2016-06-08, C, 2, C02 - hBN V break and translocations removed switch mount, 1,  
 384, 2016-06-12, C, 1, C01, 5,  
 385, 2016-06-09, C, 2, C02 - successful V break exerperiment 2 sizes 3 and 10, 1,  
 386, 2016-06-09, C, 3, C03  - bare - but possible borken to look at fluctuations and as control for translocations, 1,  
 387, 2016-06-09, C, 4, C04 - bare good as a control for flucutuations and to compare translocations, 1,  
 388, 2016-06-14, A, 2, A02 - Bare A type contol of translocations - up to 4 different lengths, 1,  
 389, 2016-06-16, A, 1,  A01 - Bare control with 4 different lengths to higher voltages - but flututations high, 1,  
 390, 2016-06-16, A, 2, A02 - Bare control for translocations 4 lengths only, 1,  
 391, 2016-06-17, C, 1, C01 - V break B3 with 3K and 10K, 1,  
 392, 2016-06-17, C, 5, C05 - V break B3 with 3K and 10K at 600mV, 1,  
 393, 2016-06-17, C, 6, C06 - V break B3 with 3k and 10K at 600mV, 1,  
 394, 2016-06-15, C, 1, C01 - hBN selectivity to KCl, 5,  
 395, 2016-06-21, C, 1,  G41_C01, 5,  
 396, 2016-06-21, C, 2,  G41_C02, 5,  
 397, 2016-06-21, C, 3,  G41_C03, 5,  
 398, 2016-06-21, C, 4,  G41_C04, 5,  
 399, 2016-06-07, C, 4, B4 selectivity, 5,  
 401, 2016-07-07, C, 4, B4_C01, 5,  
 402, 2016-07-12, C, 1, bare_C01, 5,  
 403, 2016-07-15, C, 1, B4_C01, 5,  
 404, 2016-07-15, C, 2, B4_C02, 5,  
 405, 2016-07-18, C, 1, B4a_C01, 5,  
 406, 2016-07-18, C, 2, B4a_C02, 5,  
 407, 2016-07-20, C, 1, B4a_C01 Failed experiment, 5,  
 408, 2016-07-20, C, 2, B4a_C02, 5,  
 409, 2016-07-20, C, 3, B4a_C03, 5,  
 410, 2013-11-13, C, 3, C03 Building up layers, 1,  
 411, 2014-03-27, C, 1, C01 - Initial hBN Experiment, 1,  
 412, 2013-11-13, C, 2, C02 - building up layers, 1,  
 413, 2016-07-30, C, 1, B4b_C01, 5,  
 414, 2013-06-17, E, 1, Midi, 1,  
 415, 2013-06-11, E, 1, Midi, 1,  
 416, 2013-06-10, C, 1, Midi C01, 1,  
 417, 2013-06-10, C, 2, Midi, 1,  
 418, 2013-06-04, C, 2, Midi, 1,  
 419, 2013-06-04, C, 3, Midi, 1,  
 420, 2013-06-03, C, 1, Midi, 1,  
 421, 2013-05-31, C, 1, Midi, 1,  
 422, 2013-05-31, C, 2, Midi, 1,  
 423, 2013-05-30, C, 1, Midi, 1,  
 424, 2013-05-30, C, 2, Midi Had drive down attempt on, 1,  
